Ticker,Name
AKZOINDIA-EQ.NS,AKZO NOBEL INDIA LIMITED
AKZOINDIA.NS,Akzo Nobel India Limited
ALANKIT-EQ.NS,ALANKIT LIMITED INR1
ALANKIT.NS,Alankit Limited
ALBK.NS,Allahabad Bank
ALCHEM.NS,Alchemist Limited
ALEMBICLTD.NS,Alembic Limited
ALICON.NS,Alicon Castalloy Limited
ALKALI-EQ.NS,ALKALI METALS LIMITED
ALKALI.NS,Alkali Metals Limited
ALKEM-EQ.NS,ALKEM LAB LTD INR2
ALKEM.NS,Alkem Laboratories Limited
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited
ALLCARGO.NS,Allcargo Logistics Limited
ALLSEC-EQ.NS,ALLSEC TECHNOLOGIE INR10
ALLSEC.NS,Allsec Technologies Limited
ALMONDZ-EQ.NS,ALMONDZ GLOBAL SEC INR6
ALMONDZ.NS,Almondz Global Securities Limited
ALOKTEXT-EQ.NS,ALOK INDUSTRIES LIMITED
ALOKTEXT.NS,Alok Industries Limited
ALPA-BE.NS,ALPA LABORATORIES INR10
ALPA-EQ.NS,ALPA LABORATORIES INR10
ALPA.NS,Alpa Laboratories Limited
ALPHAGEO-EQ.NS,ALPHAGEO (INDIA) LIMITED
ALPHAGEO.NS,Alphageo (India) Limited
ALPINEHOU-BE.NS,ALPINEHOU-BE.NS
ALPSINDUS-EQ.NS,ALPS INDUSTRIES LIMITED
ALPSINDUS.NS,Alps Industries Limited
ALSTOMT&D.NS,GE T&D India Limited
AMARAJABAT-EQ.NS,AMARA RAJA BATTERI INR1
AMARAJABAT.NS,Amara Raja Batteries Limited
AMBIKCO.NS,Ambika Cotton Mills Limited
AMBUJACEM.NS,Ambuja Cements Limited
AMDIND.NS,AMD Industries Limited
AMLSTEEL-BE.NS,AMLSTEEL-BE.NS
AMRUTANJAN-BE.NS,AMRUTANJAN HEALTH INR2
AMRUTANJAN-EQ.NS,AMRUTANJAN HEALTH CARE LIMITED
AMRUTANJAN.NS,Amrutanjan Health Care Limited
AMTEKAUTO.NS,Amtek Auto Limited
AMTEKINDI.NS,Castex Technologies Limited
AMTEKINDIA-BE.NS,AMTEK INDIA LIMITED
AMTL-EQ.NS,ADVANCE METERING T INR5
AMTL.NS,Advance Metering Technology Limited
ANANDAMRUB-EQ.NS,THE ANANDAM RUBBER INR10
ANANDAMRUB.NS,The Anandam Rubber Company Limited
ANANTRAJ.NS,Anant Raj Limited
ANDHRABANK.NS,Andhra Bank
ANDHRACEMT-EQ.NS,ANDHRA CEMENTS INR10
ANDHRACEMT.NS,Andhra Cements Limited
ANDHRSUGAR-EQ.NS,THE ANDHRA SUGARS LIMITED
ANDHRSUGAR.NS,The Andhra Sugars Limited
ANGIND-EQ.NS,ANG INDUSTRIES LTD INR10
ANGIND.NS,ANG Industries Limited
ANIKINDS-BE.NS,ANIK INDUSTRIES INR10
ANIKINDS.NS,Anik Industries Limited
ANKITMETAL.NS,Ankit Metal & Power Limited
ANSALAPI-EQ.NS,ANSAL PROPERTIES & INFRASTRUCTU
ANSALAPI.NS,Ansal Properties & Infrastructure Limited
ANSALHSG.NS,Ansal Housing & Construction Limited
ANTGRAPHIC-BE.NS,ANTARCTICA LIMITED
ANTGRAPHIC-EQ.NS,ANTARCTICA LIMITED INR1
ANTGRAPHIC.NS,Antarctica Limited
APARINDS.NS,Apar Industries Limited
APCOTEXIND-EQ.NS,APCOTEX INDUSTRIES LIMITED
APCOTEXIND.NS,Apcotex Industries Limited
APLAB-BE.NS,APLAB-BE.NS
APLAPOLLO.NS,APL Apollo Tubes Limited
APLLTD.NS,Alembic Pharmaceuticals Limited
APOLLOHOSP-EQ.NS,APOLLO HOSPITALS INR5
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited
APOLLOTYRE-EQ.NS,APOLLO TYRES INR1.00
APOLLOTYRE.NS,Apollo Tyres Limited
APOLSINHOT-BE.NS,Apollo Sindoori Hotels Li
APOLSINHOT-EQ.NS,APOLLO SINDOORI HO INR10
APOLSINHOT.NS,Apollo Sindoori Hotels Limited
APTECHT.NS,Aptech Limited
ARCHIDPLY.NS,Archidply Industries Limited
ARCHIES-EQ.NS,ARCHIES LIMITED
ARCHIES.NS,Archies Limited
ARCOTECH-EQ.NS,ARCOTECH LTD INR10
ARCOTECH.NS,Arcotech Limited
ARIES-EQ.NS,ARIES AGRO LIMITED
ARIES.NS,Aries Agro Limited
ARIHANT-EQ.NS,ARIHANT FOUNDATION INR10(DEMAT)
ARIHANT.NS,Arihant Foundations & Housing Limited
AROGRANITE-EQ.NS,ARO GRANITE INDUS INR10
AROGRANITE.NS,Aro Granite Industries Limited
ARROWCOAT-EQ.NS,ARROW GREENTECH LI INR10
ARROWCOAT.NS,ARROW GREENTECH LI INR10
ARROWTEX-EQ.NS,ARROW TEXTILES LTD INR10
ARROWTEX.NS,Arrow Textiles Limited
ARSHIYA.NS,Arshiya Limited
ARSSINFRA.NS,ARSS Infrastructure Projects Limited
ARVIND.NS,Arvind Limited
ARVINDREM-BZ.NS,ARVIND REMEDIES LIMITED
ARVINDREM-EQ.NS,ARVIND REMEDIES LIMITED
ARVINDREM.NS,Arvind Remedies Limited
ARVINFRA-BE.NS,ARVIND INFRASTRUCT INR10
ARVINFRA-EQ.NS,ARVIND INFRASTRUCT INR10
ARVINFRA.NS,Arvind SmartSpaces Limited
ASAHIINDIA-EQ.NS,ASAHI INDIA GLASS INR1
ASAHIINDIA.NS,Asahi India Glass Limited
ASAHISONG-BE.NS,ASAHI SONGWON COLO INR10
ASAHISONG.NS,Asahi Songwon Colors Limited
ASAL-EQ.NS,AUTOMOTIVE STAMPINGS AND ASSEMB
ASAL.NS,Automotive Stampings and Assemblies Limited
ASHAPURMIN-EQ.NS,ASHAPURA MINE CHEM INR2
ASHAPURMIN.NS,Ashapura Minechem Limited
ASHIANA.NS,Ashiana Housing Limited
ASHIMASYN-EQ.NS,ASHIMA INR10
ASHIMASYN.NS,Ashima Limited
ASHOKA.NS,Ashoka Buildcon Limited
ASHOKLEY.NS,Ashok Leyland Limited
ASIANELEC-BZ.NS,ASIAN ELECTRONIC LTD
ASIANHOTNR-EQ.NS,ASIAN HOTELS(NORTH INR10
ASIANHOTNR.NS,Asian Hotels (North) Limited
ASIANPAINT.NS,Asian Paints Limited
ASIANTILES.NS,Asian Granito India Limited
ASIL-BE.NS,ASIL-BE.NS
ASIL-EQ.NS,AMIT SPINNING IND INR5.00
ASIL.NS,Amit Spinning Industries Limited
ASSAMCO.NS,Assam Company India Limited
ASTEC-EQ.NS,ASTEC LIFESCIENCES LIMITED
ASTEC.NS,Astec LifeSciences Limited
ASTRAL.NS,Astral Poly Technik Limited
ASTRAMICRO.NS,Astra Microwave Products Limited
ASTRAZEN.NS,AstraZeneca Pharma India Limited
ATFL-EQ.NS,AGRO TECH FOODS LIMITED
ATFL.NS,Agro Tech Foods Limited
ATLANTA.NS,Atlanta Limited
ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited
ATNINTER-BE.NS,ATNINTER-BE.NS
ATNINTER-EQ.NS,ATN INTERNATIONAL INR4.00
ATNINTER.NS,ATN International Ltd.
ATUL.NS,Atul Ltd
ATULAUTO-EQ.NS,ATUL AUTO LTD INR5
ATULAUTO.NS,Atul Auto Limited
AURIONPRO-EQ.NS,AURIONPRO SOLUTIONS LIMITED
AURIONPRO.NS,aurionPro Solutions Limited
AUROPHARMA.NS,Aurobindo Pharma Limited
AUSOMENT-BE.NS,AUSOM ENTERPRISE INR10
AUSOMENT.NS,Ausom Enterprise Limited
AUSTRAL.NS,Greenearth Resources & Projects Limited
AUTOAXLES.NS,Automotive Axles Limited
AUTOIND.NS,Autoline Industries Limited
AUTOLITIND-EQ.NS,AUTOLITE (INDIA) LIMITED
AUTOLITIND.NS,Autolite (India) Limited
AVANTIFEED-EQ.NS,AVANTI FEEDS INR2
AVANTIFEED.NS,AVANTI FEEDS INR2
AVTNPL-EQ.NS,AVT NATURAL PRODUCTS LIMITED
AVTNPL.NS,AVT Natural Products Limited
AXISBANK-IL.NS,AXIS BANK INR2
AXISBANK.NS,Axis Bank Limited
AXISCADES-EQ.NS,AXISCADES ENGINEER INR10
AXISCADES.NS,AXISCADES Engineering Technologies Limited
AXISGOLD.NS,Axis Gold ETF
AYMSYNTEX.NS,AYM Syntex Limited
BAFNAPHARM.NS,Bafna Pharmaceuticals Limited
BAGFILMS.NS,B.A.G. Films and Media Limited
BAJAJ-AUTO-EQ.NS,BAJAJ AUTO LTD INR10
BAJAJ-AUTO.NS,Bajaj Auto Limited
BAJAJCORP.NS,Bajaj Corp Limited
BAJAJELEC.NS,Bajaj Electricals Limited
BAJAJFINS.NS,BAJAJ FINSERV LIMITED
BAJAJFINSV.NS,Bajaj Finserv Limited
BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited
BAJFINANCE.NS,Bajaj Finance Limited
BALAJITELE.NS,Balaji Telefilms Limited
BALAMINES.NS,Balaji Amines Limited
BALKRISIND-BE.NS,BALKRISHNA INDUSTRIES LTD
BALKRISIND-EQ.NS,BALKRISHNA INDUSTRIES LIMITED
BALKRISIND.NS,Balkrishna Industries Limited
BALLARPUR.NS,Ballarpur Industries Limited
BALMLAWRIE.NS,Balmer Lawrie & Co. Limited
BALPHARMA.NS,Bal Pharma Limited
BALRAMCHIN-EQ.NS,BALRAMPUR CHINI MI INR1
BALRAMCHIN.NS,Balrampur Chini Mills Limited
BANARBEADS-EQ.NS,BANARAS BEADS LTD INR10
BANARBEADS.NS,Banaras Beads Limited
BANARISUG.NS,Bannari Amman Sugars Limited
BANCOINDIA.NS,Banco Products (India) Limited
BANG-BE.NS,BANG OVERSEAS LTD INR10
BANG.NS,Bang Overseas Limited
BANKBARODA-IL.NS,BK OF BARODA INR2
BANKBARODA.NS,Bank of Baroda
BANKBEES-EQ.NS,BENCHMARK BANKBEES
BANKBEES.NS,Goldman Sachs Bank BeES ETF
BANKINDIA.NS,Bank of India Limited
BANSWRAS.NS,Banswara Syntex Limited
BARTRONICS-EQ.NS,BARTRONICS INDIA L INR10
BARTRONICS.NS,Bartronics India Limited
BASF.NS,BASF India Limited
BASML-EQ.NS,BANNARI AMMAN SPIN INR10
BASML.NS,Bannari Amman Spinning Mills Limited
BATAINDIA.NS,Bata India Limited
BAYERCROP.NS,Bayer CropScience Limited
BBL-EQ.NS,BHARAT BIJLEE LIMITED
BBL.NS,Bharat Bijlee Limited
BBTC-EQ.NS,BOMBAY BURMAH TRADING CORPORATI
BBTC.NS,"The Bombay Burmah Trading Corporation, Limited"
BDR-EQ.NS,BDR BUILDCON LTD INR10
BDR-IT.NS,BDR Buildcon Limited
BDR.NS,BDR Buildcon Limited
BEARDSELL-BE.NS,BEARDSELL LTD INR10
BEARDSELL-BL.NS,BEARDSELL LTD INR10
BEARDSELL-BT.NS,BEARDSELL LTD INR10
BEARDSELL-EQ.NS,BEARDSELL LTD INR2
BEARDSELL-IL.NS,BEARDSELL LTD INR10
BEARDSELL-RL.NS,BEARDSELL LTD INR10
BEARDSELL.NS,Beardsell Limited
BEDMUTHA-EQ.NS,BEDMUTHA INDUSTRIES LIMITED
BEDMUTHA.NS,Bedmutha Industries Limited
BEL.NS,Bharat Electronics Limited
BEML-EQ.NS,BEML LIMITED
BEML.NS,BEML Limited
BEPL-EQ.NS,BHANSALI ENGINEERING POLYMERS L
BEPL.NS,Bhansali Engineering Polymers Limited
BERGEPAINT-EQ.NS,BERGER PAINTS (I) LIMITED
BERGEPAINT.NS,Berger Paints India Limited
BFINVEST.NS,BF Investment Limited
BFUTILITIE.NS,BF Utilities Limited
BGLOBAL-BE.NS,BHARATIYA GLOBAL I INR10
BGLOBAL-EQ.NS,BHARATIYA GLOBAL INFOMEDIA LIMI
BGLOBAL.NS,Bharatiya Global Infomedia Limited
BGRENERGY-EQ.NS,BGR ENERGY SYSTEMS LIMITED
BGRENERGY.NS,BGR Energy Systems Limited
BHAGERIA.NS,BHAGERIA INDUSTRIE INR5
BHAGYNAGAR-EQ.NS,BHAGYANAGAR INDIA INR2
BHAGYNAGAR.NS,Bhagyanagar India Limited
BHARATFORG.NS,Bharat Forge Limited
BHARATGEAR.NS,Bharat Gears Limited
BHARATIDIL.NS,Bharati Defence And Infrastructure Limited
BHARATRAS.NS,Bharat Rasayan Limited
BHARATWIRE.NS,Bharat Wire Ropes Limited
BHARTIARTL.NS,Bharti Airtel Limited
BHARTISHIP-BZ.NS,BHARATI SHIPYARD LTD.
BHARTISHIP.NS,BHARATI SHIPYARD LTD.
BHEL.NS,Bharat Heavy Electricals Limited
BHUSANSTL-EQ.NS,BHUSHAN STEEL LIMITED
BHUSANSTL.NS,Bhushan Steel Limited
BIL-EQ.NS,BHARTIYA INTERNATIONAL LIMITED
BIL.NS,Bhartiya International Limited
BILENERGY-EQ.NS,BIL ENERGY SYSTEMS INR1
BILENERGY.NS,Bil Energy Systems Limited
BILPOWER-BE.NS,BILPOWER LTD INR10(DEMAT)
BILPOWER-EQ.NS,BILPOWER LIMITED
BILPOWER.NS,Bilpower Limited
BINANIIND.NS,Edayar Zinc Limited
BINDALAGRO-BE.NS,OSWAL CHEM & FERT-DEP SET
BINDALAGRO-EQ.NS,OSWAL GREENTECH LI INR10
BINDALAGRO.NS,Oswal Greentech Limited
BIOCON-EQ.NS,BIOCON LIMITED
BIOCON.NS,Biocon Limited
BIRLACORPN.NS,Birla Corporation Limited
BIRLACOT-BE.NS,BIRLA COTSYN (INDI INR1
BIRLACOT.NS,Birla Cotsyn (India) Limited
BIRLAERIC-BE.NS,BIRLA ERICSON LTD.
BIRLAERIC.NS,Birla Cable Limited
BIRLAMONEY-EQ.NS,ADITYA BIRLA MONEY INR1
BIRLAMONEY.NS,Aditya Birla Money Limited
BIRLAPOWER-BZ.NS,BIRLA POWER SOL. LTD
BLBLIMITED-EQ.NS,BLB INR1
BLBLIMITED.NS,BLB Limited
BLISSGVS.NS,Bliss Gvs Pharma Limited
BLKASHYAP.NS,B.L. Kashyap and Sons Limited
BLUEBLENDS-BE.NS,BLUE BLENDS (I) LTD
BLUEBLENDS-EQ.NS,BLUE BLENDS (INDIA INR10
BLUEBLENDS.NS,BLUE BLENDS (INDIA INR10
BLUECHIP-BE.NS,BLUE CHIP INDIA LTD.
BLUECHIP.NS,Blue Chip India Limited
BLUECOAST-BE.NS,BLUE COAST HOTELS INR10
BLUECOAST-EQ.NS,BLUE COAST HOTELS INR10
BLUECOAST.NS,Blue Coast Hotels Limited
BLUEDART.NS,Blue Dart Express Limited
BLUESTARCO.NS,Blue Star Limited
BLUESTINFO-EQ.NS,BLUE STAR INFOTECH LIMITED
BLUESTINFO.NS,Blue Star Infotech Ltd.
BNPCPGII-MF.NS,BNP PARIBAS MF CAPITAL PRT ORIE
BODALCHEM-EQ.NS,BODAL CHEMICALS INR2.00
BODALCHEM.NS,Bodal Chemicals Limited
BODHTREE-BE.NS,BODHTREE-BE.NS
BOMDYEING-EQ.NS,BOMBAY DYEING & MFG COMPANY LIM
BOMDYEING.NS,The Bombay Dyeing and Manufacturing Company Limited
BOSCHLTD-EQ.NS,BOSCH LIMITED
BOSCHLTD.NS,Bosch Limited
BPCL.NS,Bharat Petroleum Corporation Limited
BPL-EQ.NS,BPL LIMITED
BPL.NS,BPL Limited
BRANDHOUSE-BZ.NS,BRANDHOUSE RETAILS LTD
BRANDHOUSE-EQ.NS,BRANDHOUSE RETAILS INR10
BRANDHOUSE.NS,BRANDHOUSE RETAILS INR10
BRFL.NS,Bombay Rayon Fashions Limited
BRIGADE.NS,Brigade Enterprises Limited
BRITANNIA.NS,Britannia Industries Limited
BROADCAST-EQ.NS,BROADCAST INITIATI INR10
BROADCAST.NS,Broadcast Initiatives Limited
BROOKS.NS,Brooks Laboratories Limited
BSELINFRA.NS,BSEL Infrastructure Realty Limited
BSL-EQ.NS,BSL LIMITED
BSL.NS,BSL Limited
BSLCAP19RG-MF.NS,BIRLA SUN LIFE ASS CAPITAL PRT
BSLCAP21RG-MF.NS,BIRLA SUN LIFE MUT CAPITAL PR O
BSLELFS5RG-MF.NS,BIRLA SUN LIFE MUT EMERGING LEA
BSLFEFS2RG-MF.NS,BIRLA SUN LIFE MUT FOCUSED EQ 2
BSLFTPLLRG-MF.NS,BIRLA SUN LIFE ASS FIXED TERM P
BSLFTPLVDG-MF.NS,BIRLA SUN LIFE MUT FTP LV 1099D
BSLGOLDETF.NS,Birla Sun Life Gold ETF
BSLIMITED.NS,BS Limited
BSLNIFTY-EQ.NS,BIRLA SUN LIFE ASS NIFTY GROWTH
BSLNIFTY.NS,Birla Sun Life Nifty ETF
BSLRGES1RD-MF.NS,BIRLA SUN LIFE ASS SERIES 1-REG
BSLRGES1RG-MF.NS,BIRLA SUN LIFE ASS SERIES 1-REG
BURNPUR-EQ.NS,BURNPUR CEMENT LTD INR10
BURNPUR.NS,Burnpur Cement Limited
BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited
BVCL-EQ.NS,BARAK VALLEY CEMEN INR10
BVCL.NS,Barak Valley Cements Limited
BYKE-EQ.NS,THE BYKE HOSPITALI INR10
BYKE.NS,THE BYKE HOSPITALI INR10
CADILAHC.NS,Cadila Healthcare Limited
CAIRN-EQ.NS,CAIRN INDIA LIMITED
CAIRN.NS,Cairn India Limited
CALSOFT-BE.NS,CALIFORNIA SOFTWARE CO LT
CALSOFT.NS,California Software Company Limited
CAMLINFINE-EQ.NS,CAMLIN FINE SCIENC INR1
CAMLINFINE.NS,CAMLIN FINE SCIENC INR1
CANBK.NS,Canara Bank
CANDC-EQ.NS,C & C CONSTRUCTIONS LIMITED
CANDC.NS,C & C Constructions Limited
CANFINHOME-EQ.NS,CANFIN HOMES INR10
CANFINHOME.NS,Can Fin Homes Limited
CANTABIL-EQ.NS,CANTABIL RETAIL INDIA LIMITED
CANTABIL.NS,Cantabil Retail India Limited
CAPF.NS,Capital First Limited
CAPLIPOINT-EQ.NS,CAPLIN POINT LABOR INR2
CAPLIPOINT.NS,CAPLIN POINT LABOR INR2
CARBORUNIV-EQ.NS,CARBORUNDUM UNIVERSAL LIMITED
CARBORUNIV.NS,Carborundum Universal Limited
CAREERP.NS,Career Point Limited
CARERATING-EQ.NS,CREDIT ANALYSIS AND RESEARCH LI
CARERATING.NS,CARE Ratings Limited
CASTEXTECH-BE.NS,CASTEX TECHNOLOGIES LTD.
CASTEXTECH-EQ.NS,CASTEX TECHNOLOGIE INR2
CASTEXTECH.NS,Castex Technologies Limited
CASTROLIND-EQ.NS,CASTROL INDIA INR5
CASTROLIND.NS,Castrol India Limited
CCCL.NS,Consolidated Construction Consortium Limited
CCHHL-EQ.NS,COUNTRY CLUB HOSPI INR2
CCHHL.NS,Country Club Hospitality & Holidays Limited
CCL.NS,CCL Products (India) Limited
CEATLTD.NS,CEAT Limited
CEBBCO-EQ.NS,COMMERCIAL ENGINEERS & BODY BUI
CEBBCO.NS,Commercial Engineers & Body Builders Co Limited
CELEBRITY-EQ.NS,CELEBRITY FASHIONS INR10
CELEBRITY.NS,Celebrity Fashions Limited
CELESTIAL-EQ.NS,CELESTIAL BIOLABS LIMITED
CELESTIAL.NS,Celestial Biolabs Limited
CENTENKA.NS,Century Enka Limited
CENTEXT-EQ.NS,CENTURY EXTRUSIONS LIMITED
CENTEXT.NS,Century Extrusions Limited
CENTRALBK-EQ.NS,CENTRAL BANK OF INDIA
CENTRALBK.NS,Central Bank of India
CENTUM-EQ.NS,CENTUM ELECTRONICS INR10
CENTUM.NS,Centum Electronics Limited
CENTURYPLY.NS,Century Plyboards (India) Limited
CENTURYTEX.NS,Century Textiles and Industries Limited
CERA-EQ.NS,CERA SANITARYWARE LIMITED
CERA.NS,Cera Sanitaryware Limited
CEREBRAINT-EQ.NS,CEREBRA INTEGRATED INR10
CEREBRAINT.NS,Cerebra Integrated Technologies Limited
CESC.NS,CESC Limited
CGCL-EQ.NS,CAPRI GLOBAL CAPIT INR2
CGCL.NS,Capri Global Capital Limited
CHAMBLFERT.NS,Chambal Fertilisers and Chemicals Limited
CHEMFALKAL-EQ.NS,CHEMFAB ALKALIS LIMITED
CHEMFALKAL.NS,Chemfab Alkalis Limited
CHENNPETRO.NS,Chennai Petroleum Corporation Limited
CHOLAFIN-EQ.NS,CHOLAMANDALAM INVESTMENT AND FI
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited
CHROMATIC-EQ.NS,CHROMATIC INDIA LIMITED
CHROMATIC.NS,Chromatic India Limited
CIGNITITEC-EQ.NS,CIGNITI TECHNOLOGI INR10
CIGNITITEC.NS,CIGNITI TECHNOLOGI INR10
CIMMCO.NS,Cimmco Limited
CINELINE.NS,Cineline India Limited
CINEVISTA.NS,Cinevista Limited
CIPLA-EQ.NS,CIPLA LIMITED
CIPLA.NS,Cipla Limited
CLASSIC-BE.NS,CLASSIC DIAMONDS (I) LTD
CLASSIC-BZ.NS,CLASSIC DIAMONDS (I) LTD
CLASSIC-EQ.NS,CLASSIC DIAMONDS (INDIA) LIMITE
CLASSIC.NS,Classic Diamonds (India)
CLNINDIA.NS,Clariant Chemicals (India) Limited
CLUTCHAUTO-BE.NS,CLUTCH AUTO LTD
CLUTCHAUTO-BZ.NS,CLUTCH AUTO LTD
CLUTCHAUTO-EQ.NS,CLUTCH AUTO INR10
CLUTCHAUTO.NS,Clutch Auto Ltd.
CMAHENDRA-BZ.NS,C.MAHENDRA EXPORTS LTD
CMAHENDRA.NS,C. Mahendra Exports Limited
CMC.NS,CMC Limited
CNOVAPETRO-BE.NS,CIL NOVA PETROCHEM INR10
CNOVAPETRO-EQ.NS,CIL NOVA PETROCHEM INR10
CNOVAPETRO.NS,CIL Nova Petrochemicals Limited
COALINDIA.NS,Coal India Limited
COFFEEDAY-EQ.NS,COFFEE DAY ENTERPR INR10
COFFEEDAY.NS,Coffee Day Enterprises Limited
COLPAL.NS,Colgate-Palmolive (India) Limited
COMPUSOFT-EQ.NS,COMPUCOM SOFTWARE LIMITED
COMPUSOFT.NS,Compucom Software Limited
CONCOR.NS,Container Corporation of India Limited
CONSOFINVT-EQ.NS,CONSOLIDATED FINVE INR10
CONSOFINVT.NS,Consolidated Finvest & Holdings Limited
CORDSCABLE-EQ.NS,CORDS CABLE INDUST INR10
CORDSCABLE.NS,Cords Cable Industries Limited
COREEDUTEC-BZ.NS,CORE EDUCATION & TECH LTD
COREEDUTEC-EQ.NS,CORE EDUCATION & TECHNOLOGIES L
COREEDUTEC.NS,CORE Education and Technologies Limited
COROMANDEL-EQ.NS,COROMANDEL INTERNATIONAL LIMITE
COROMANDEL.NS,Coromandel International Limited
CORPBANK.NS,Corporation Bank
COSMOFILMS.NS,Cosmo Films Limited
COUNCODOS.NS,Country Condo'S Limited
COX&KINGS.NS,Cox & Kings Limited
CPSEETF-EQ.NS,RELIANCE NIPPON LI CPSE ETF*
CPSEETF.NS,Goldman Sachs CPSE ETF
CREATIVEYE-EQ.NS,CREATIVE EYE LTD INR10
